,magic_pearson_score,magic_spearman_score,magic_slope_0_to_0.75,magic_slope_0.75_to_1,direction,log2fc
RND3,-0.44574409792434344,-0.5054618875718694,-0.001639003546890891,-0.2730161273889203,down,7.380023388647635
SNRPD1,-0.4217941355818775,-0.41329576990578415,-0.0007397221760810089,-0.12411879395244267,down,7.39052234132255
NHSL1,-0.44279619997650727,-0.44678308074861456,-0.000855640915007416,-0.16131670604333723,down,7.558674666259868
PIP4K2A,-0.4074133263784668,-0.4191531299731554,0.0010217332795260067,-0.1927871060234867,down,7.55984612020234
AZIN1,-0.38787263342341693,-0.3816015330977035,-0.0005344351933760934,-0.10413468333772512,down,7.606219926054791
VMP1,-0.41680578290846865,-0.41503338041287136,-0.0007919136127708868,-0.15486918837381375,down,7.6114913693509765
KLF2,-0.5565017998922613,-0.5550648005002601,0.0007728183158997623,-0.16671176290017428,down,7.75301090005248
PLEKHB2,-0.39963235765558464,-0.38542953931032214,0.00043235424649785926,-0.10180732676878676,down,7.879411817023215
PALLD,-0.40910502471589894,-0.4069279652266998,-0.0007371438836084238,-0.19894376620507878,down,8.07619873091775
ZFAND5,-0.3332491826442668,-0.34707548630498253,0.00041758752204055073,-0.11307894366648824,down,8.08103599269826
SEPHS2,-0.4120326346984132,-0.3974749360419814,-0.00046352002930595294,-0.13019065793334011,down,8.1337785327468
PSMA7,-0.5160664751294045,-0.5198115790639866,-0.0007799863532595677,-0.22479198602715872,down,8.170926005550585
RNF144B,-0.406800189834202,-0.44853728845355556,0.00044487806366333795,-0.19077183645369306,down,8.74422252448912
CNBP,-0.475737647545478,-0.4705390484375753,-0.00032397442857320084,-0.15036607066390908,down,8.858383406503481
PEA15,-0.48341962800907723,-0.46547854163302876,-0.00025560848734852915,-0.20985082475155092,down,9.681212676920468
WDR83OS,-0.5040340950990788,-0.4940802828842194,0.0002487888174138069,-0.20475706440141198,down,9.684775871841873
ID3,-0.5618795454234181,-0.5463821310705943,-0.00021685556698182297,-0.19163474950530762,down,9.787408996531584
DACH1,-0.42196495629803993,-0.4418564532340115,-0.00010947239868136117,-0.13113778801855358,down,10.226300581609955
KBTBD2,-0.4766153033010715,-0.4810072483896835,6.640065812205051e-05,-0.11669816573305224,down,10.779296723688677
FKBP8,-0.4176087668061278,-0.4329777330842557,3.759638902269893e-05,-0.10460252768652005,down,11.442035990139178
NAA50,-0.5428102325113031,-0.5323183428009275,-2.1396073485650988e-05,-0.25784191742554824,down,13.556853137814567
