,magic_pearson_score,magic_spearman_score,magic_slope_0_to_0.75,magic_slope_0.75_to_1,direction,log2fc
C18orf25,-0.3108028712291991,-0.30954327945740445,0.009329452758057884,-0.1057316833274197,down,3.502471487413976
ATF6,-0.2866793159801735,-0.3022375318566284,0.011447287266084167,-0.1316545958017728,down,3.523680224255972
TES,-0.34608134992483114,-0.3827719369198556,0.010626696457803193,-0.12314454949119574,down,3.5345876958207105
CHML,-0.3298602237811111,-0.34252028889908687,0.012916651383748699,-0.14978638356294063,down,3.5356024727553548
AL161431.1,-0.3452543869472068,-0.3351469561752883,-0.010825563825325474,-0.12688458496170205,down,3.5510027371644215
CBLB,-0.3305194340958528,-0.3449990456810213,-0.015716493686007985,-0.1872493748014422,down,3.574609605117016
KCP,-0.30518371892108276,-0.3177524542809634,-0.011370476390630184,-0.13560199445973525,down,3.57601379263219
RNF144B,-0.41730686220258034,-0.44612020610676395,0.022890377835317218,-0.27315169895663755,down,3.5768892146271396
C7orf50,-0.3164546700430581,-0.34934081243226695,0.010327954722116775,-0.12396254737666311,down,3.5852778210086123
LINC01111,-0.8022332148324858,-0.7618314131512691,-0.035676886656271486,-0.43497889898654946,down,3.60788378782966
RUSC2,-0.3303509151660557,-0.35974766678703296,0.018995657320979454,-0.23256652329883204,down,3.613901902920211
OGT,-0.4279025855767041,-0.40487296134219725,0.019894541360124227,-0.24397227808821592,down,3.6162726822752322
KLF5,-0.6495661130369758,-0.6388936183890711,-0.013604915221772646,-0.16752828894691238,down,3.6222048590004183
ERCC6,-0.3894802811536443,-0.38732804971088836,-0.008362516387112521,-0.10341060587744746,down,3.6283032141656704
RALA,-0.378762335850858,-0.39940390742565024,0.015139462258438204,-0.18726058037370424,down,3.6286613664442684
UBB,-0.43388922829490395,-0.45210665988125254,-0.011632449729253301,-0.14423111844088912,down,3.632155607913263
FYN,-0.36790951015268364,-0.3674714300742594,0.02135202658938354,-0.2682416460383312,down,3.6510883289524667
MAP3K7CL,-0.297646361280665,-0.3094440718525169,0.011153707974289828,-0.1414294642712799,down,3.6644874017382305
SLC44A5,-0.46200386571385177,-0.47078212646601436,-0.01545235686690311,-0.19657676004248545,down,3.6691939648310665
RIC1,-0.3360953289926364,-0.31318808202648296,0.015063298581643528,-0.19386141602899856,down,3.6859160613618966
ZNF714,-0.624943316925702,-0.635700220487146,-0.010184566054375059,-0.13359862183528398,down,3.713448709320098
PAN3,-0.4356328601178675,-0.43241761921315924,-0.008694431894517046,-0.11435332368026377,down,3.717262725034553
ARID5B,-0.3752135057279852,-0.39924601476244076,0.028911920457509212,-0.3804399956385419,down,3.7179325773423306
ANKS1B,-0.44854239724503336,-0.45217654193478,0.0121387673293437,-0.16006043122040353,down,3.720922870144677
SETBP1,-0.34299440159102296,-0.3713226845168382,0.01343143009876247,-0.17738244404064676,down,3.723178402129065
SPTLC2,-0.3099588918006442,-0.3405097473180197,0.010791214634543562,-0.1431503468691715,down,3.7296020006052215
ATRNL1,-0.40349210142825986,-0.40349110691338264,-0.015234729598609293,-0.20362823262155755,down,3.740501802928481
ARHGEF26,-0.5576458896065958,-0.5581280180396766,-0.013508515658242626,-0.1812148210206737,down,3.745759891570356
GREB1L,-0.4544289565667276,-0.4701488882284818,0.015034036848269055,-0.20338264513092053,down,3.757892227566865
ADAMTS12,-0.5989686324636596,-0.6079495201278684,-0.024262404266407193,-0.33184345317051767,down,3.7737083865229883
PARG,-0.38822728314688165,-0.3976085985154691,0.007325142219522148,-0.10039058810864655,down,3.776623438707249
MYO5B,-0.4711633212805863,-0.4848071745263561,0.01279447813087844,-0.17551442988512841,down,3.7779964381528757
SH3RF2,-0.34572471789467235,-0.3704132599474729,0.01698385556395379,-0.23451902058955187,down,3.7874690244134217
NCKAP5,-0.482674418640254,-0.5046519703708475,-0.02003649429847011,-0.2770761778376407,down,3.7895806642300003
EPS15,-0.29299841321842507,-0.32454462142958984,0.013725696021757553,-0.1900469269365984,down,3.7914044825823208
NT5DC1,-0.48180160363666624,-0.47157391866187265,-0.007260244405964552,-0.10096935853084406,down,3.797755614903075
GLIS3,-0.36122941581765927,-0.35246653038532616,-0.012548086931045364,-0.17890532024750125,down,3.8336569563879754
ELF2,-0.5514487367966766,-0.5348549885779824,-0.009072071700358189,-0.1295166586674561,down,3.83556181912854
NLGN1,-0.620332637061496,-0.620199709332342,-0.022031239499073218,-0.31880770049742163,down,3.8550639068104133
EPB41L5,-0.5841841517502113,-0.5857709601275833,-0.01742024683438604,-0.2525352712871828,down,3.857647930046524
DDAH1,-0.371421877775708,-0.4013908526145179,0.018820685361288603,-0.2730228668307008,down,3.858630717736504
DEK,-0.4874616866584891,-0.5108700454096333,0.024806767403541857,-0.36326822313259155,down,3.872229518151618
AP002336.2,-0.32313779923575026,-0.346703614284289,0.00741134438064101,-0.10954762537050677,down,3.885679137691615
